"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO"
291350,5,2913507
291370,2,2913705
291380,0,2913804
291400,6,2914000
291410,0,2914109
291420,8,2914208
291430,12,2914307
291440,0,2914406
291460,14,2914604
291470,1,2914703
291500,12,2915007
291510,0,2915106
291535,0,2915353
291580,11,2915809
291640,4,2916401
291650,2,2916500
291670,6,2916708
291680,0,2916807
291685,23,2916856
291690,0,2916906
291700,20,2917003
291710,12,2917102
291720,0,2917201
291733,1,2917334
291740,1,2917409
291750,2,2917508
291760,6,2917607
291770,5,2917706
291800,0,2918001
291810,22,2918100
291835,4,2918357
291840,2,2918407
291850,0,2918506
291860,0,2918605
291870,15,2918704
291875,0,2918753
291900,2,2919009
291905,3,2919058
291910,9,2919108
291915,6,2919157
291930,1,2919306
291940,1,2919405
291950,1,2919504
291960,6,2919603
291970,0,2919702
291980,13,2919801
291990,45,2919900
291995,0,2919959
292000,1,2920007
292010,13,2920106
292020,5,2920205
292030,2,2920304
292040,10,2920403
292050,1,2920502
292080,1,2920809
292105,14,2921054
292120,14,2921203
292130,9,2921302
292140,1,2921401
292145,5,2921450
292150,15,2921500
292160,9,2921609
292170,104,2921708
292180,1,2921807
292190,4,2921906
292205,29,2922052
292210,60,2922102
292225,12,2922250
292265,8,2922656
292270,1,2922706
292273,25,2922730
292280,27,2922805
292285,1,2922854
292290,0,2922904
292303,0,2923035
292305,1,2923050
292310,0,2923100
292320,0,2923209
292335,4,2923357
292340,2,2923407
292350,0,2923506
292360,3,2923605
292370,NA,2923704
292380,11,2923803
292400,2,2924009
292405,62,2924058
292420,14,2924207
292430,NA,2924306
292440,NA,2924405
292450,10,2924504
292460,NA,2924603
292465,0,2924652
292470,0,2924702
292480,40,2924801
292490,0,2924900
292500,5,2925006
292510,0,2925105
292525,4,2925253
292540,4,2925402
292560,4,2925600
292570,2,2925709
292580,2,2925808
292590,7,2925907
292593,17,2925931
292595,37,2925956
292600,5,2926004
292610,0,2926103
292630,46,2926301
292640,NA,2926400
292650,1,2926509
292660,0,2926608
292665,0,2926657
292670,0,2926707
292680,39,2926806
292690,0,2926905
292710,5,2927101
292720,6,2927200
292750,17,2927507
292760,5,2927606
292790,14,2927903
292800,45,2928000
292820,0,2928208
292830,17,2928307
292850,22,2928505
292880,0,2928802
292895,32,2928950
292905,2,2929057
292925,0,2929255
292937,2,2929370
292970,5,2929701
292980,10,2929800
292990,1,2929909
293000,0,2930006
293010,1,2930105
293015,NA,2930154
293020,NA,2930204
293030,53,2930303
293040,0,2930402
293050,5,2930501
293060,7,2930600
293075,NA,2930758
293076,1,2930766
293077,3,2930774
293080,50,2930808
293090,53,2930907
293100,0,2931004
293105,5,2931053
293110,17,2931103
293130,132,2931301
293150,0,2931509
293180,3,2931806
293190,0,2931905
293200,4,2932002
293210,0,2932101
293240,0,2932408
293245,9,2932457
293260,NA,2932606
293280,0,2932804
293300,0,2933000
293305,1,2933059
293310,18,2933109
293315,4,2933158
293330,13,2933307
293340,0,2933406
293360,15,2933604
310100,0,3101003
310170,53,3101706
310270,5,3102704
310340,47,3103405
310520,20,3105202
310650,27,3106507
310665,0,3106655
310825,1,3108255
311270,8,3112703
311300,9,3113008
311547,1,3115474
311610,127,3116100
311700,18,3117009
311783,2,3117836
311950,12,3119500
312030,0,3120300
312087,0,3120870
312235,0,3122355
312245,0,3122454
312430,0,3124302
312560,0,3125606
312650,18,3126505
312670,365,3126703
312707,11,3127073
312733,NA,3127339
312780,5,3127800
312965,1,3129657
313065,0,3130655
313210,0,3132107
313330,10,3133303
313400,25,3134004
313470,32,3134707
313505,4,3135050
313510,6,3135100
313520,1,3135209
313535,1,3135357
313545,8,3135456
313580,12,3135803
313600,218,3136009
313650,0,3136504
313652,3,3136520
313657,4,3136579
313695,0,3136959
313865,1,3138658
313925,NA,3139250
313930,2,3139300
314055,0,3140555
314085,11,3140852
314100,51,3141009
314140,6,3141405
314225,10,3142254
314270,0,3142700
314290,0,3142908
314315,38,3143153
314345,0,3143450
314465,0,3144656
314505,4,3145059
314530,16,3145307
314537,15,3145372
314625,23,3146255
314630,12,3146305
314655,3,3146552
314795,0,3147956
314870,28,3148707
314915,8,3149150
315217,36,3152170
315220,44,3152204
315450,9,3154507
315560,0,3155603
315650,12,3156502
315660,0,3156601
315700,13,3157005
315710,3,3157104
315737,15,3157377
315810,53,3158102
316045,0,3160454
316240,2,3162401
316245,1,3162450
316270,0,3162708
316695,0,3166956
316800,5,3168002
317065,0,3170651
317090,0,3170909
317103,2,3171030
317160,5,3171600
